Episode,State,Utara,Timur,Selatan,Barat,Goal,Total Aksi,Reward
1,"1,1",-0.1,-0.19,-0.5,-0.5,False,50,-114
1,"1,2",-0.1,-0.5,-0.10900000000000001,-0.5,False,50,-114
1,"1,3",0.0,0.0,-0.1,0.0,False,50,-114
1,"1,4",0.0,0.0,0.0,0.0,False,50,-114
1,"1,5",0.0,0.0,0.0,0.0,False,50,-114
1,"1,6",0.0,0.0,0.0,0.0,False,50,-114
1,"2,1",-0.5,-0.19,-0.5,-0.1,False,50,-114
1,"2,2",0.0,0.0,0.0,0.0,False,50,-114
1,"2,3",0.0,0.0,0.0,0.0,False,50,-114
1,"2,4",0.0,0.0,0.0,0.0,False,50,-114
1,"2,5",0.0,0.0,0.0,0.0,False,50,-114
1,"2,6",0.0,0.0,0.0,0.0,False,50,-114
1,"3,1",-0.1,-0.19,-0.5,-0.1,False,50,-114
1,"3,2",-0.1,-0.1,-0.10900000000000001,-0.5,False,50,-114
1,"3,3",0.0,0.0,-0.1,0.0,False,50,-114
1,"3,4",0.0,0.0,0.0,0.0,False,50,-114
1,"3,5",0.0,0.0,0.0,0.0,False,50,-114
1,"3,6",0.0,0.0,0.0,0.0,False,50,-114
1,"4,1",-0.199,-0.19,-0.5,-0.1,False,50,-114
1,"4,2",-0.5,-0.9590000000000001,-0.199,-0.1,False,50,-114
1,"4,3",0.0,0.0,0.0,0.0,False,50,-114
1,"4,4",0.0,0.0,0.0,0.0,False,50,-114
1,"4,5",0.0,0.0,0.0,0.0,False,50,-114
1,"4,6",0.0,0.0,0.0,0.0,False,50,-114
1,"5,1",-0.5,-0.19,-0.5,-0.10900000000000001,False,50,-114
1,"5,2",0.0,0.0,0.0,0.0,False,50,-114
1,"5,3",0.0,0.0,0.0,0.0,False,50,-114
1,"5,4",0.0,0.0,0.0,0.0,False,50,-114
1,"5,5",0.0,0.0,0.0,0.0,False,50,-114
1,"5,6",0.0,0.0,0.0,0.0,False,50,-114
1,"6,1",-0.19,-0.5,-0.5,-0.10900000000000001,False,50,-114
1,"6,2",-0.1,0.0,-0.10900000000000001,0.0,False,50,-114
1,"6,3",0.0,0.0,-0.1,0.0,False,50,-114
1,"6,4",0.0,0.0,0.0,0.0,False,50,-114
1,"6,5",0.0,0.0,0.0,0.0,False,50,-114
1,"6,6",0.0,0.0,0.0,0.0,False,50,-114
1,Jalur,,,,,,,"barat,timur,barat,selatan,utara,barat,timur,utara,selatan,selatan,timur,selatan,timur,timur,selatan,barat,barat,utara,timur,selatan,utara,utara,selatan,barat,timur,utara,barat,selatan,timur,utara,timur,selatan,timur,barat,utara,timur,selatan,timur,selatan,utara,timur,selatan,timur,barat,timur,utara,selatan,utara,utara,selatan"
2,"1,1",-0.199,-0.19,-0.5,-0.5,False,50,-98
2,"1,2",-0.19,-0.5,-0.10900000000000001,-0.5,False,50,-98
2,"1,3",0.0,-0.1,-0.1,-0.5,False,50,-98
2,"1,4",0.0,-0.1,0.0,0.0,False,50,-98
2,"1,5",0.0,0.0,0.0,0.0,False,50,-98
2,"1,6",0.0,0.0,0.0,0.0,False,50,-98
